name,minLon,minLat,maxLon,maxLat
10NE10A(e828n822:e829n822).tif,114.1014671,22.33885253,114.1087483,22.34428033
10NE10B(e829n822:e830n822).tif,114.1087532,22.33885574,114.1150129,22.34426951
10NE10C(e828n821:e829n822).tif,114.1014698,22.33343419,114.1087509,22.33886193
10NE10D(e829n821:e830n822).tif,114.1087505,22.33343752,114.1160311,22.33886482
10NE11A(e822n821:e823n821).tif,114.0432308,22.32797839,114.0505143,22.33340793
10NE11B(e823n821:e824n821).tif,114.0505181,22.32798414,114.0573146,22.33340247
10NE11C(e822n820:e823n821).tif,114.0432357,22.32255995,114.0505192,22.32798946
10NE11D(e823n820:e824n821).tif,114.050508,22.32256582,114.0558754,22.32798936
10NE14A(e827n821:e827n821).tif,114.0891368,22.32801059,114.0941937,22.33342202
10NE14B(e827n821:e828n821).tif,114.0941924,22.3280123,114.1014737,22.33344016
10NE14C(e827n820:e827n821).tif,114.0909382,22.32605116,114.0941949,22.32801279
10NE14D(e827n820:e828n821).tif,114.0941928,22.3260801,114.1014735,22.32801645
10NE15A(e828n821:e829n821).tif,114.1014727,22.32801582,114.1087536,22.3334434
10NE15B(e829n821:e830n821).tif,114.1087528,22.32801907,114.116033,22.33344609
10NE15C(e828n820:e829n821).tif,114.1014847,22.3270171,114.108754,22.3280278
10NE15D(e829n820:e830n821).tif,114.1087591,22.32656457,114.1146021,22.32802046
10NE16A(e822n819:e823n820).tif,114.0432407,22.31714162,114.050524,22.32257097
10NE16B(e823n819:e824n820).tif,114.0505133,22.31714747,114.0564079,22.32257278
10NE16C(e822n819:e823n819).tif,114.0432459,22.31172349,114.0505288,22.31715257
10NE16D(e823n819:e824n819).tif,114.0505331,22.31172912,114.0555096,22.31715301
10NE1B(e823n823:e824n824).tif,114.0548465,22.34966084,114.0577758,22.35508003
10NE1C(e822n822:e823n823).tif,114.0441174,22.3442344,114.0504995,22.34769293
10NE1D(e823n822:e824n823).tif,114.0504987,22.34423913,114.05778,22.34966699
10NE21A(e822n818:e823n819).tif,114.0432484,22.30643956,114.0505319,22.31173665
10NE21B(e823n818:e824n819).tif,114.0505385,22.30844097,114.0554878,22.31174053
10NE2A(e824n823:e824n824).tif,114.0577718,22.34966297,114.0650526,22.35509044
10NE2B(e824n823:e825n824).tif,114.0650532,22.34966937,114.0683011,22.35508251
10NE2C(e824n822:e824n823).tif,114.0577786,22.34424499,114.0650604,22.34967326
10NE2D(e824n822:e825n823).tif,114.0650659,22.34509111,114.0684539,22.349664
10NE3B(e826n823:e827n824).tif,114.0798597,22.34967998,114.0868999,22.35509696
10NE3D(e826n822:e827n823).tif,114.0833663,22.34426296,114.0869034,22.34967905
10NE4A(e827n823:e827n824).tif,114.0868988,22.34968178,114.0941809,22.35511026
10NE4B(e827n823:e828n824).tif,114.09418,22.34968572,114.1014617,22.3551139
10NE4C(e827n822:e827n823).tif,114.0869022,22.34426354,114.0941842,22.34969194
10NE4D(e827n822:e828n823).tif,114.0941833,22.34426732,114.1014648,22.34969541
10NE5A(e828n823:e829n824).tif,114.1014614,22.34968927,114.108743,22.35511737
10NE5B(e829n823:e830n824).tif,114.1087428,22.34969241,114.1160241,22.35512034
10NE5C(e828n822:e829n823).tif,114.1014644,22.34427125,114.1087457,22.34969912
10NE5D(e829n822:e830n823).tif,114.1087448,22.34427409,114.116025,22.34970117
10NE6A(e822n822:e823n822).tif,114.0432214,22.33881496,114.0505045,22.3442442
10NE6B(e823n822:e824n822).tif,114.0505086,22.33882081,114.0558897,22.34423932
10NE6C(e822n821:e823n822).tif,114.0432257,22.33339686,114.0505094,22.33882649
10NE6D(e823n821:e824n822).tif,114.0505064,22.33340251,114.057788,22.33883061
10NE7A(e824n822:e824n822).tif,114.0582617,22.3389378,114.0642386,22.34425687
10NE7C(e824n821:e824n822).tif,114.0577901,22.33531152,114.0583797,22.33586313
10NE8B(e826n822:e827n822).tif,114.0860088,22.3441425,114.0869035,22.34426179
10NE9A(e827n822:e827n822).tif,114.0869065,22.33884752,114.0941872,22.34427497
10NE9B(e827n822:e828n822).tif,114.0941863,22.33884916,114.1014679,22.34427721
10NE9C(e827n821:e827n822).tif,114.0901229,22.33342856,114.0941905,22.33884585
10NE9D(e827n821:e828n822).tif,114.0941895,22.3334307,114.1014705,22.33885839
10NW10B(e821n822:e822n822).tif,114.0381615,22.3388107,114.0432241,22.34302637
10NW10C(e821n821:e821n822).tif,114.0286591,22.33338397,114.0359491,22.3375824
10NW10D(e821n821:e822n822).tif,114.0359458,22.33339046,114.0432292,22.33881988
10NW13B(e818n821:e819n821).tif,114.0112106,22.32794885,114.0141148,22.32907179
10NW13C(e818n820:e818n821).tif,114.0046007,22.32252354,114.0068414,22.32352798
10NW13D(e818n820:e819n821).tif,114.0068394,22.3225259,114.0141211,22.32795407
10NW14A(e819n821:e820n821).tif,114.0141134,22.3279518,114.0213946,22.33337957
10NW14B(e820n821:e821n821).tif,114.021391,22.32795892,114.0286746,22.33338854
10NW14C(e819n820:e820n821).tif,114.014116,22.32253339,114.0214007,22.32796384
10NW14D(e820n820:e821n821).tif,114.0213958,22.32254049,114.0286803,22.32797069
10NW15A(e821n821:e821n821).tif,114.0286702,22.32796565,114.0359545,22.33339576
10NW15B(e821n821:e822n821).tif,114.0359504,22.32797213,114.0432344,22.333402
10NW15C(e821n820:e821n821).tif,114.0286758,22.32254738,114.0359598,22.32797731
10NW15D(e821n820:e822n821).tif,114.035956,22.32255433,114.0432395,22.32798385
10NW17B(e817n819:e818n820).tif,113.9961182,22.317097,113.9995684,22.3209201
10NW17C(e816n819:e817n819).tif,113.9905431,22.31167132,113.9922965,22.31238422
10NW17D(e817n819:e818n819).tif,113.9922942,22.31167331,113.9995755,22.3171012
10NW18A(e818n819:e818n820).tif,113.9995646,22.31710021,114.006848,22.3225297
10NW18B(e818n819:e819n820).tif,114.0068427,22.31710801,114.0141273,22.32253835
10NW18C(e818n819:e818n819).tif,113.9995699,22.31168146,114.0068545,22.31711184
10NW18D(e818n819:e819n819).tif,114.006849,22.31168934,114.0141334,22.31711957
10NW19A(e819n819:e820n820).tif,114.0141221,22.31711507,114.0214067,22.3225454
10NW19B(e820n819:e821n820).tif,114.0214018,22.31712216,114.028686,22.3225522
10NW19C(e819n819:e820n819).tif,114.0141285,22.31169677,114.0214127,22.3171268
